id,overall_quality_of_services_3_01,overall_quality_of_services_3_02,overall_appearance_of_durham_3_03,overall_management_of_develo_3_04,overall_image_of_durham_3_05,overall_quality_of_life_in_d_3_06,overall_quality_of_life_in_y_3_07,overall_value_you_receive_fo_3_08,do_your_monthly_housing_cost_12_01,are_you_able_to_find_housing_12_02,do_you_have_major_home_repai_12_03,ease_of_travel_by_walking_18_01,ease_of_travel_by_biking_18_02,ease_of_travel_by_bus_godu_18_03,quality_of_downtown_parking_18_04,the_ability_in_your_neighbo_18_05,as_a_place_to_live_24_01,as_a_place_to_work_24_02,as_a_place_to_play_24_03,as_a_place_to_raise_childre_24_04,as_a_place_to_educate_child_24_05,as_a_place_to_retire_24_06,as_a_place_to_visit_24_07,as_a_place_to_start_a_busin_24_08,as_a_community_that_is_movi_24_09,have_you_or_someone_in_your_househol_26,approximately_how_many_years_have_yo_28,what_is_your_age_29,what_is_your_gender_30,do_you_own_or_rent_your_current_resi_31,asianpacific_islander_32_01,white_32_02,native_americaninuit_32_03,blackafrican_american_32_04,other_32_05,please_define_other_32_5,are_you_of_hispanic_latino_or_spa_33,primary_language,please_define_other_34_3,how_might_we_better_provide_service_34a,would_you_say_your_total_annual_hous_35,city,state,zip,pac_zone,inside_city_of_durham,block_lon,block_lat
88,3,3,3,2,3,3,2,3,NA,1,2,2,2,2,3,2,4,3,3,3,3,2,4,3,3,2,1,1,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27707,4,Y,-78908000,35977000
89,2,2,2,2,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,4,3,4,3,3,3,3,3,4,1,54,3,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27704,NA,N,-78848000,36026000
90,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,3,1,2,1,NA,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27704,1,Y,NA,NA
91,4,4,4,4,4,4,4,4,NA,NA,NA,4,4,NA,4,4,5,NA,NA,NA,NA,5,5,5,5,2,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27712,NA,N,-78967000,36078000
92,4,4,4,3,4,4,4,4,2,1,2,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,56,4,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27712,2,Y,-78942000,36080000
93,NA,3,3,3,2,3,5,2,2,1,2,NA,2,2,1,5,4,4,4,NA,NA,NA,3,NA,2,2,25,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27705,NA,N,-78983000,36012000
94,3,3,4,3,4,5,4,NA,2,1,2,2,1,1,5,4,5,5,4,NA,NA,NA,4,NA,4,1,4,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27703,1,Y,-78803000,36010000
95,4,4,4,3,4,4,5,2,2,2,2,3,3,NA,NA,4,4,4,4,4,4,4,4,4,4,2,70,5,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27712,NA,N,-78905000,36117000
96,1,1,3,1,3,3,2,3,2,2,2,2,3,2,2,5,5,3,4,5,5,5,5,4,1,1,72,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27705,2,Y,-78916000,36012000
97,3,2,1,1,2,3,3,2,2,1,1,2,2,2,2,4,3,3,2,2,2,3,3,2,2,2,33,5,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27712,NA,N,-78925000,36093000
98,2,4,NA,NA,NA,NA,NA,NA,1,2,2,4,4,NA,1,2,4,4,1,1,4,4,4,4,4,2,50,5,2,1,NA,NA,NA,4,NA,NA,2,NA,NA,NA,1,Durham,NC,27713,NA,N,-78940000,35897000
99,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,NA,NA,NA,4,2,2,NA,1,1,1,2,1,1,2,40,5,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Rougemont,NC,27572,NA,N,-78937000,36210000
100,3,4,3,3,3,3,5,3,2,1,2,3,3,3,3,4,4,4,4,4,3,3,4,3,3,2,10,1,1,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Bahama,NC,27503,NA,N,-78862000,36168000
101,NA,NA,2,2,3,3,5,4,2,NA,2,NA,NA,NA,4,5,5,NA,5,5,2,5,5,NA,NA,2,57,4,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Bahama,NC,27503,NA,N,-78859000,36151000
102,2,1,1,4,4,3,5,1,1,2,1,4,4,NA,1,5,1,1,1,1,1,1,1,1,1,1,51,3,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Bahama,NC,27503,NA,N,-78861000,36145000
103,4,NA,3,3,3,4,5,5,2,1,2,1,3,2,2,5,4,4,4,3,4,NA,3,4,3,2,7,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,4,Y,-78922000,35932000
104,5,5,5,5,5,5,5,5,2,NA,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,2,18,3,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27704,1,Y,-78851000,36021000
105,5,5,4,3,5,5,5,5,2,1,2,3,2,5,5,5,5,5,4,NA,NA,5,5,5,5,2,8,4,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27712,2,Y,-78932000,36087000
106,4,5,4,NA,5,5,5,5,2,1,2,3,NA,NA,3,3,5,5,2,2,2,4,5,4,5,2,71,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27712,NA,N,-78905000,36096000
107,3,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,26,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27704,1,Y,-78855000,36009000
108,4,4,5,4,5,5,5,5,2,1,2,4,2,2,3,5,5,5,5,5,4,3,4,NA,3,2,12,1,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,3,Y,-78924000,35932000
109,3,4,2,2,3,2,4,4,2,1,2,1,1,2,4,5,3,3,2,3,NA,1,2,NA,2,2,13,1,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27707,3,Y,-78931000,35982000
110,4,4,4,4,4,4,4,5,2,1,2,5,NA,NA,NA,5,4,4,4,4,4,5,5,4,5,2,13,4,1,2,1,NA,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27701,2,Y,-78899000,36014000
111,3,4,2,1,1,2,4,2,NA,NA,NA,3,3,3,3,5,2,2,2,1,1,1,1,1,1,2,70,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Rougemont,NC,27572,NA,N,-78914000,36232000
112,4,4,4,4,4,4,4,3,2,2,2,4,NA,NA,4,4,5,5,5,4,NA,5,NA,4,5,2,12,2,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Bahama,NC,27503,NA,N,-78883000,36162000
113,5,5,4,4,4,4,5,3,2,1,2,4,3,NA,4,5,5,4,5,4,4,4,4,5,5,2,35,4,1,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,2,Durham,NC,27712,NA,N,-78921000,36108000
114,3,3,4,3,2,3,5,3,2,1,2,2,2,2,2,2,4,4,4,2,2,4,4,4,2,2,11,1,2,1,NA,2,NA,NA,NA,NA,2,Spanish,NA,NA,3,Bahama,NC,27503,NA,N,-78869000,36163000
115,3,3,1,2,1,3,5,3,2,1,2,NA,NA,NA,2,4,5,4,NA,NA,2,2,2,2,2,2,25,4,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Bahama,NC,27503,NA,N,-78809000,36120000
116,NA,3,4,4,4,4,4,4,2,1,2,4,NA,NA,4,4,4,5,4,4,4,3,5,4,4,2,4,2,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Bahama,NC,27503,NA,N,-78934000,36166000
117,4,4,4,5,5,5,5,4,2,1,2,NA,NA,NA,4,4,5,NA,5,4,3,3,5,3,5,2,1,2,1,1,1,NA,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27703,1,Y,-78833000,35995000
118,NA,3,4,1,4,4,4,4,2,1,2,2,2,NA,2,5,4,4,4,4,4,4,4,NA,5,2,20,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,3,Y,-78949000,35895000
119,5,4,3,4,4,5,4,4,2,1,2,4,NA,NA,4,5,5,5,5,5,4,4,5,4,5,2,27,5,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,3,Y,-78939000,35931000
120,3,3,4,4,3,2,4,3,2,2,1,4,4,1,1,2,2,3,2,3,2,2,2,2,2,1,NA,2,2,2,NA,NA,NA,NA,5,MULTI-RACIAL,2,English,NA,NA,1,Durham,NC,27713,4,Y,-78908000,35947000
121,4,4,4,3,3,4,3,4,1,1,1,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,2,NA,5,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27703,1,Y,-78848000,35986000
122,3,3,2,2,1,1,1,3,1,2,1,1,1,2,NA,NA,3,3,3,3,3,3,3,3,3,1,42,3,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27703,1,Y,-78875000,35980000
123,NA,5,NA,NA,5,5,5,3,NA,NA,NA,NA,NA,NA,2,2,4,4,4,4,4,4,3,3,3,2,32,5,1,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27712,NA,N,-78954000,36090000
124,3,4,2,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,2,3,3,3,3,3,2,65,NA,2,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,2,Durham,NC,27704,NA,N,-78834000,36032000
125,NA,3,3,2,3,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,4,NA,4,3,2,NA,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27704,NA,N,-78819000,36040000
126,4,4,4,4,5,5,4,5,2,1,2,1,NA,NA,3,2,5,4,4,5,2,3,3,5,5,2,2,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27707,4,Y,-78892000,35968000
127,NA,4,NA,NA,NA,NA,5,5,2,2,2,NA,NA,NA,NA,4,5,NA,NA,NA,NA,5,4,NA,4,2,16,5,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27707,NA,N,-79000000,35943000
128,2,2,2,2,2,2,3,1,2,1,1,1,NA,NA,1,5,2,2,2,2,1,2,2,1,1,1,41,3,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27712,2,Y,-78890000,36078000
129,4,4,3,1,3,4,4,2,2,2,2,1,3,3,1,4,4,4,4,3,2,4,3,3,3,2,20,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27704,2,Y,-78892000,36030000
130,3,3,2,3,2,4,4,2,2,1,2,3,NA,1,2,4,4,4,4,3,3,1,2,2,2,2,25,2,2,1,NA,NA,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27712,NA,N,-78887000,36088000
131,4,4,5,5,5,4,4,3,2,1,2,3,3,NA,3,4,5,5,5,5,2,4,4,5,5,2,6,2,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27707,3,Y,-78950000,35948000
132,4,4,4,4,4,4,4,2,1,2,1,2,3,3,2,4,2,4,3,4,4,4,4,3,4,2,50,5,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27707,4,Y,-78897000,35958000
133,4,4,3,3,2,4,5,4,2,1,2,NA,NA,NA,4,5,4,5,2,2,2,2,4,4,4,2,2,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27703,NA,N,-78824000,35967000
134,4,3,2,3,NA,3,4,4,2,2,2,3,NA,NA,NA,3,4,4,3,4,4,3,3,3,3,2,60,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27707,4,Y,-78908000,35978000
135,4,4,3,4,4,4,4,3,2,1,1,3,3,3,4,4,4,5,4,2,1,3,4,4,4,2,6,1,2,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27704,1,Y,-78808000,36037000
136,NA,4,4,3,4,4,5,5,2,1,2,2,2,2,4,5,5,5,3,5,4,NA,3,NA,4,2,10,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27713,NA,N,-78924000,35888000
137,3,4,4,2,4,4,4,4,2,1,2,3,3,NA,2,3,4,4,3,3,3,4,4,4,4,2,30,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Bahama,NC,27503,NA,N,-78888000,36144000
138,3,3,1,3,3,2,4,3,2,2,2,5,NA,NA,4,4,4,NA,NA,NA,NA,1,3,4,4,2,3,1,1,2,NA,2,3,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27701,2,Y,-78906000,36011000
139,4,4,4,4,4,4,4,4,2,1,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,NA,4,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27703,1,Y,-78829000,35998000
140,2,2,1,1,2,1,1,1,2,2,2,1,2,1,1,1,4,4,4,1,1,4,4,4,2,2,22,2,2,2,NA,NA,NA,4,NA,NA,1,English,NA,NA,4,Durham,NC,27713,4,Y,-78888000,35941000
141,1,1,3,1,3,3,3,1,1,1,1,2,3,3,1,4,4,4,2,3,3,3,4,2,1,2,13,1,1,1,NA,NA,NA,NA,5,MIXED,1,English,NA,NA,2,Durham,NC,27701,2,Y,-78879000,36013000
142,3,3,3,3,3,3,3,3,2,NA,1,NA,NA,NA,NA,NA,4,NA,3,3,4,3,3,3,3,2,73,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27701,3,Y,-78920000,35995000
143,4,4,4,4,2,4,4,2,2,1,2,3,2,NA,4,5,4,4,3,4,2,5,4,NA,3,2,33,3,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27703,4,Y,-78824000,35933000
144,4,4,4,5,3,5,5,5,2,1,2,2,3,NA,3,5,5,5,5,NA,NA,NA,4,NA,5,2,0,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27709,4,Y,-78831000,35926000
145,3,4,5,4,5,5,5,2,1,2,2,4,3,3,1,5,4,NA,4,4,4,4,4,NA,4,2,76,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27703,NA,N,-78826000,35964000
146,5,5,4,3,3,5,5,5,2,1,2,5,NA,NA,NA,5,5,5,5,5,5,5,5,4,4,2,41,4,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27707,3,Y,-78971000,35935000
147,3,4,3,4,2,2,4,4,1,1,2,NA,NA,NA,NA,NA,4,3,3,3,3,4,4,2,3,2,20,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27707,4,Y,-78914000,35954000
148,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,2,50,3,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27703,NA,N,-78820000,35963000
149,4,4,5,3,4,4,3,NA,2,1,2,4,5,3,4,4,4,3,4,4,4,4,3,3,4,2,20,1,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27707,3,Y,-78934000,35981000
150,4,4,3,2,2,4,4,4,2,1,2,4,2,3,4,3,4,4,4,4,2,2,4,3,3,2,6,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27707,3,Y,-78922000,35987000
151,1,3,3,NA,1,3,3,1,2,1,2,NA,NA,NA,1,4,2,4,2,2,1,1,1,4,1,2,41,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27712,2,Y,-78854000,36126000
152,4,4,4,4,4,4,4,4,1,1,2,4,3,3,4,4,4,4,4,4,4,4,4,NA,4,2,33,3,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,3,Durham,NC,27704,2,Y,-78911000,36062000
153,4,4,5,3,4,4,4,3,1,1,2,5,NA,4,2,4,4,4,4,4,3,3,3,4,4,2,7,4,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27707,3,Y,-78931000,35983000
154,3,3,3,3,2,1,3,2,2,1,2,NA,NA,NA,3,NA,1,3,3,2,1,1,3,3,1,2,43,2,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27704,NA,N,-78815000,36055000
155,4,3,3,3,3,4,5,3,1,1,1,3,3,3,5,4,4,4,3,3,2,4,4,2,3,2,21,2,1,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,2,Durham,NC,27705,2,Y,-78922000,36016000
156,3,3,2,3,3,3,5,5,1,1,2,4,5,NA,3,5,5,NA,4,4,2,3,2,4,5,2,3,1,2,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,2,Durham,NC,27713,4,Y,-78922000,35932000
157,4,4,4,3,4,4,4,4,2,1,2,4,NA,NA,3,5,4,3,4,NA,NA,4,4,4,4,2,4,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78795000,35974000
158,2,2,3,3,2,4,2,3,1,1,2,4,1,3,2,2,4,4,4,2,2,3,4,4,4,1,5,1,1,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,2,Durham,NC,27701,1,Y,-78895000,35996000
159,4,4,4,4,4,4,5,5,1,2,2,4,NA,2,2,2,4,4,3,3,3,2,2,2,4,2,20,3,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27701,2,Y,-78899000,36012000
160,5,5,4,2,4,5,5,NA,1,1,2,5,4,2,2,5,5,5,5,NA,NA,4,NA,NA,3,2,30,4,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27701,2,Y,-78898000,36012000
161,5,5,5,4,3,4,4,4,2,1,2,3,2,2,2,4,5,5,5,5,4,4,4,3,3,2,6,1,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27701,2,Y,-78896000,36016000
162,1,1,1,1,1,1,4,1,2,1,2,1,1,1,1,4,2,4,3,1,1,2,1,2,1,2,68,5,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27712,NA,N,-78959000,36075000
163,4,4,4,4,4,4,4,3,1,1,2,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,2,60,4,2,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,2,Durham,NC,27712,NA,N,-78967000,36077000
164,NA,3,1,1,1,3,5,3,2,1,2,3,NA,NA,3,5,4,4,3,4,2,3,3,2,3,2,60,4,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27712,NA,N,-78964000,36088000
165,5,5,3,2,4,4,4,4,2,1,2,1,2,3,5,2,5,3,4,3,3,4,2,4,4,2,4,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27707,3,Y,-78925000,35987000
166,4,4,2,2,2,2,4,4,2,1,1,5,NA,4,2,5,4,4,4,NA,NA,4,4,NA,4,2,42,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27701,3,Y,-78912000,35993000
167,3,2,3,3,3,3,4,3,1,1,2,4,3,NA,3,3,3,2,2,3,2,2,2,2,2,2,10,1,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27704,NA,N,-78831000,36030000
168,4,4,3,2,3,3,4,3,1,1,2,4,NA,NA,NA,4,4,4,4,4,4,1,1,1,NA,2,33,5,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,NA,N,-78844000,35943000
169,NA,4,3,4,3,4,4,3,2,1,2,5,NA,NA,3,4,4,4,4,4,4,4,4,4,4,2,34,5,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27712,NA,N,-78935000,36106000
170,4,4,4,4,4,4,5,2,1,1,2,4,2,4,2,5,4,5,4,4,2,2,2,2,3,1,8,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27713,4,Y,-78920000,35924000
171,4,4,3,3,3,4,4,4,2,1,2,3,2,3,4,5,4,5,3,4,4,5,NA,NA,4,2,44,5,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,4,Y,-78905000,35901000
172,3,4,3,3,4,4,5,3,NA,1,2,3,NA,NA,4,5,5,5,4,5,3,4,4,NA,4,2,39,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27713,NA,N,-78916000,35877000
173,4,4,4,2,4,4,5,NA,NA,2,2,3,2,2,3,5,3,4,4,4,2,NA,5,NA,4,2,3,1,2,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,NA,Durham,NC,27701,2,Y,-78907000,36006000
174,2,2,1,1,1,2,2,1,2,2,1,2,5,5,2,1,1,2,2,1,1,1,1,1,1,2,70,5,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27704,NA,N,-78844000,36041000
175,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,4,2,4,4,3,4,3,NA,3,NA,4,1,1,1,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27704,1,Y,-78851000,36009000
176,3,3,4,4,4,2,4,2,2,1,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,3,2,79,5,1,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,NA,Durham,NC,27712,NA,N,-78948000,36086000
177,4,4,4,4,4,4,4,4,2,1,2,4,NA,NA,4,5,5,5,5,5,5,5,5,5,5,2,32,4,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27707,3,Y,-78914000,35990000
178,5,5,2,4,2,3,3,3,2,2,2,5,5,NA,2,3,4,3,4,2,3,1,2,3,5,2,26,1,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27705,3,Y,-78954000,36007000
179,5,5,5,4,5,4,4,4,1,2,2,4,4,4,4,4,4,4,3,3,4,3,4,3,3,2,47,3,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27701,4,Y,-78890000,35980000
180,4,NA,4,4,4,4,5,3,2,1,2,1,1,1,4,5,4,4,2,4,NA,NA,2,NA,4,2,3,1,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27703,1,Y,-78818000,35950000
181,NA,2,2,2,2,4,5,1,2,1,2,4,4,3,4,5,4,4,3,2,2,4,4,4,2,2,64,4,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27703,NA,N,-78762000,35965000
182,2,2,2,1,1,1,3,NA,1,2,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,73,5,1,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,1,Durham,NC,27704,NA,N,-78804000,36024000
183,5,NA,5,4,5,5,5,5,2,1,2,5,NA,NA,4,5,5,5,5,5,5,5,5,5,5,2,29,4,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27704,1,Y,NA,NA
184,4,4,3,4,3,4,5,4,2,1,2,3,NA,NA,3,4,4,4,3,5,4,4,4,NA,4,2,35,4,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27705,NA,N,-78990000,35995000
185,4,4,3,3,4,4,5,4,2,1,2,4,NA,NA,3,4,4,4,4,4,4,4,4,NA,3,2,1,4,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27713,NA,N,-78924000,35880000
186,3,3,3,NA,3,3,4,2,2,1,2,3,NA,NA,1,1,2,3,3,3,3,3,3,3,3,2,21,4,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,NA,N,-78803000,35995000
187,4,4,4,4,4,5,5,3,2,1,2,3,2,NA,2,5,5,5,5,5,4,5,4,NA,5,2,36,3,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27705,2,Y,-78956000,36043000
188,3,3,4,1,3,4,4,3,2,1,2,3,3,NA,2,4,4,4,4,4,3,2,2,3,3,2,12,2,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27707,3,Y,-78948000,35949000
189,2,4,2,3,2,2,4,1,2,1,2,3,2,3,4,4,2,3,3,1,1,3,3,1,1,2,12,1,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27712,NA,N,-78940000,36096000
190,4,4,4,3,3,4,4,3,2,2,1,3,NA,NA,1,3,4,4,4,4,4,4,4,4,4,2,62,4,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27712,NA,N,-78874000,36085000
191,4,4,3,4,3,3,5,3,1,NA,NA,4,NA,4,NA,5,4,4,4,4,4,4,4,4,4,2,4,3,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27704,2,Y,-78909000,36049000
192,2,2,4,2,2,4,5,2,2,1,2,4,NA,NA,2,5,4,2,2,2,2,4,2,2,4,2,60,5,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27712,NA,N,-78973000,36073000
193,4,3,3,2,2,3,4,3,2,1,2,3,3,NA,3,5,4,4,3,3,3,3,3,NA,3,2,47,4,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27712,2,Y,-78921000,36075000
194,4,4,2,3,2,3,5,2,2,2,2,3,3,3,3,5,4,4,3,3,2,4,3,4,2,2,49,5,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27712,2,Y,-78855000,36130000
195,4,4,4,5,5,4,4,3,2,1,2,NA,NA,NA,4,4,4,4,4,3,2,3,4,5,5,2,7,1,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27703,4,Y,-78815000,35923000
196,4,4,5,5,5,5,5,5,2,1,2,5,5,NA,5,5,5,5,5,5,3,4,5,5,5,2,6,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27701,2,Y,-78909000,36005000
197,3,3,4,4,3,3,4,NA,2,1,2,2,3,4,3,4,3,3,4,1,1,2,4,2,2,2,3,1,1,2,NA,NA,NA,4,NA,NA,1,English,NA,NA,3,Durham,NC,27713,4,Y,-78884000,35890000
198,3,3,3,3,3,4,3,2,1,2,2,NA,NA,NA,3,4,4,4,4,NA,NA,4,5,NA,3,2,26,3,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,4,Y,-78844000,35937000
199,4,4,2,2,1,1,2,3,2,1,1,2,2,NA,4,4,2,1,3,NA,NA,2,2,2,1,2,2,1,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27703,NA,N,-78812000,35992000
